source_top_folder	source_type	source_name	source_path	ref_kind	register_name
CommonModules	ОбщийМодуль	РасчетСебестоимости	CommonModules/РасчетСебестоимости/Ext/Module.bsl	Движения	СубконтоКт1
CommonModules	ОбщийМодуль	РасчетСебестоимости	CommonModules/РасчетСебестоимости/Ext/Module.bsl	Движения	СубконтоКт2
CommonModules	ОбщийМодуль	РасчетСебестоимости	CommonModules/РасчетСебестоимости/Ext/Module.bsl	Движения	СубконтоКт3
CommonModules	ОбщийМодуль	РасчетСебестоимости	CommonModules/РасчетСебестоимости/Ext/Module.bsl	Движения	Сумма
CommonModules	ОбщийМодуль	РасчетСебестоимости	CommonModules/РасчетСебестоимости/Ext/Module.bsl	Движения	СуммаВР
CommonModules	ОбщийМодуль	РасчетСебестоимости	CommonModules/РасчетСебестоимости/Ext/Module.bsl	Движения	СуммаНУ
CommonModules	ОбщийМодуль	РасчетСебестоимости	CommonModules/РасчетСебестоимости/Ext/Module.bsl	Движения	СуммаПР
CommonModules	ОбщийМодуль	РасчетСебестоимости	CommonModules/РасчетСебестоимости/Ext/Module.bsl	Движения	СчетДт
CommonModules	ОбщийМодуль	РасчетСебестоимости	CommonModules/РасчетСебестоимости/Ext/Module.bsl	Движения	СчетКт
CommonModules	ОбщийМодуль	РасчетСебестоимости	CommonModules/РасчетСебестоимости/Ext/Module.bsl	Движения	ФиксированнаяСтоимость
CommonModules	ОбщийМодуль	РасчетСебестоимости	CommonModules/РасчетСебестоимости/Ext/Module.bsl	Движения	Хозрасчетный
CommonModules	ОбщийМодуль	РезервОтпусков	CommonModules/РезервОтпусков/Ext/Module.bsl	Движения	ОценочныеОбязательства
CommonModules	ОбщийМодуль	РезервОтпусков	CommonModules/РезервОтпусков/Ext/Module.bsl	Движения	ОценочныеОбязательстваПоСотрудникам
CommonModules	ОбщийМодуль	РезервОтпусков	CommonModules/РезервОтпусков/Ext/Module.bsl	Движения	РасчетРезерваОтпусков
CommonModules	ОбщийМодуль	РезервыПоОплатеТруда	CommonModules/РезервыПоОплатеТруда/Ext/Module.bsl	Движения	ОценочныеОбязательства
CommonModules	ОбщийМодуль	РезервыПоОплатеТруда	CommonModules/РезервыПоОплатеТруда/Ext/Module.bsl	Движения	ОценочныеОбязательстваПоСотрудникам
CommonModules	ОбщийМодуль	СверткаИнформационнойБазы	CommonModules/СверткаИнформационнойБазы/Ext/Module.bsl	Движения	Содержит
CommonModules	ОбщийМодуль	СтатусыДокументов	CommonModules/СтатусыДокументов/Ext/Module.bsl	Движения	ОплатаСчетов
CommonModules	ОбщийМодуль	ТорговыйСбор	CommonModules/ТорговыйСбор/Ext/Module.bsl	Движения	РасчетТорговогоСбора
CommonModules	ОбщийМодуль	ТорговыйСбор	CommonModules/ТорговыйСбор/Ext/Module.bsl	Движения	Хозрасчетный
CommonModules	ОбщийМодуль	ТуристическийНалогСервер	CommonModules/ТуристическийНалогСервер/Ext/Module.bsl	Движения	ТуристическийНалог
CommonModules	ОбщийМодуль	ТуристическийНалогСервер	CommonModules/ТуристическийНалогСервер/Ext/Module.bsl	Движения	Хозрасчетный
CommonModules	ОбщийМодуль	УправлениеВнеоборотнымиАктивами	CommonModules/УправлениеВнеоборотнымиАктивами/Ext/Module.bsl	Движения	Хозрасчетный
CommonModules	ОбщийМодуль	УставныйКапитал	CommonModules/УставныйКапитал/Ext/Module.bsl	Движения	Хозрасчетный
CommonModules	ОбщийМодуль	УчетАУСН	CommonModules/УчетАУСН/Ext/Module.bsl	Движения	РасчетыНДФЛАУСН
